departement,categorie,indicateur,date,annee,nombre,taux,population,unite,rate_unit
44,Tentative de vol,,2025-07-03,2025,,,,,
60,Vol,,2025-07-03,2025,,,,,
41,Fraude CB,,2025-07-03,2025,,,,,
91,Vandalisme,,2025-07-03,2025,,,,,
44,Vandalisme,,2025-07-03,2025,,,,,
30,Agression Physique,,2025-07-02,2025,,,,,
13,Agression Verbale,,2025-07-02,2025,,,,,
60,Agression Verbale,,2025-07-02,2025,,,,,
60,Agression Verbale,,2025-07-02,2025,,,,,
60,Agression Verbale,,2025-07-01,2025,,,,,
59,SDF,,2025-07-01,2025,,,,,
65,Vandalisme,,2025-06-30,2025,,,,,
78,Agression Physique,,2025-06-30,2025,,,,,
34,Vol,,2025-06-30,2025,,,,,
14,Agression Verbale,,2025-06-30,2025,,,,,
73,Cambriolage,,2025-06-30,2025,,,,,
13,Agression Verbale,,2025-06-30,2025,,,,,
35,SDF,,2025-06-30,2025,,,,,
92,Agression Verbale,,2025-06-29,2025,,,,,
68,Agression Verbale,,2025-06-29,2025,,,,,
13,Tentative de vol,,2025-06-28,2025,,,,,
79,Agression Verbale,,2025-06-28,2025,,,,,
93,Agression Verbale,,2025-06-28,2025,,,,,
62,Evenement suspect,,2025-06-28,2025,,,,,
63,Agression Verbale,,2025-06-27,2025,,,,,
13,Agression Verbale,,2025-06-27,2025,,,,,
57,Vandalisme,,2025-06-26,2025,,,,,
92,Bagarre,,2025-06-26,2025,,,,,
13,Agression physique prestataire,,2025-06-26,2025,,,,,
13,Agression Verbale,,2025-06-26,2025,,,,,
27,Agression Verbale,,2025-06-25,2025,,,,,
13,Vol sur un tiers,,2025-06-25,2025,,,,,
91,SDF,,2025-06-25,2025,,,,,
59,Vol sur un tiers,,2025-06-25,2025,,,,,
78,Bagarre,,2025-06-25,2025,,,,,
93,Vandalisme,,2025-06-25,2025,,,,,
34,Agression Verbale,,2025-06-25,2025,,,,,
38,Vol,,2025-06-24,2025,,,,,
95,Rassemblements individus,,2025-06-24,2025,,,,,
91,Agression Verbale,,2025-06-24,2025,,,,,
95,Vol,,2025-06-24,2025,,,,,
35,Vol,,2025-06-24,2025,,,,,
62,Tentative vol sur un tiers,,2025-06-24,2025,,,,,
75,Vandalisme,,2025-06-23,2025,,,,,
75,Vol sur un tiers,,2025-06-22,2025,,,,,
72,Agression Verbale,,2025-06-22,2025,,,,,
91,Agression Verbale,,2025-06-22,2025,,,,,
93,Vandalisme,,2025-06-22,2025,,,,,
75,Bagarre,,2025-06-22,2025,,,,,
91,Agression Verbale,,2025-06-22,2025,,,,,
93,Bagarre,,2025-06-22,2025,,,,,
64,Agression Verbale,,2025-06-22,2025,,,,,
6,Agression Verbale,,2025-06-21,2025,,,,,
78,Divers,,2025-06-20,2025,,,,,
4,Agression Verbale,,2025-06-20,2025,,,,,
72,Tentative de fraude TPI,,2025-06-20,2025,,,,,
95,Agression Verbale,,2025-06-20,2025,,,,,
75,Agression sur un tiers,,2025-06-20,2025,,,,,
44,Braquage,,2025-06-20,2025,,,,,
88,Vandalisme,,2025-06-20,2025,,,,,
93,Agression Verbale,,2025-06-19,2025,,,,,
56,Agression Verbale,,2025-06-19,2025,,,,,
34,Agression Physique,,2025-06-19,2025,,,,,
59,Agression Verbale,,2025-06-19,2025,,,,,
59,Divers,,2025-06-19,2025,,,,,
57,Vol,,2025-06-18,2025,,,,,
27,Agression Verbale,,2025-06-18,2025,,,,,
76,Agression Verbale,,2025-06-18,2025,,,,,
6,Vol,,2025-06-18,2025,,,,,
95,Agression Verbale,,2025-06-18,2025,,,,,
59,SDF,,2025-06-18,2025,,,,,
75,Agression Verbale,,2025-06-17,2025,,,,,
56,Agression Verbale,,2025-06-17,2025,,,,,
75,Vandalisme,,2025-06-17,2025,,,,,
6,Vol,,2025-06-17,2025,,,,,
13,Agression Physique,,2025-06-17,2025,,,,,
66,Réunion FO,,2025-06-17,2025,,,,,
31,Agression Verbale,,2025-06-16,2025,,,,,
95,Divers,,2025-06-16,2025,,,,,
92,Rassemblements individus,,2025-06-16,2025,,,,,
69,Agression Verbale,,2025-06-16,2025,,,,,
13,Vol,,2025-06-16,2025,,,,,
31,Tentative de fraude CB,,2025-06-16,2025,,,,,
76,Agression Verbale,,2025-06-16,2025,,,,,
78,Vol,,2025-06-15,2025,,,,,
94,Vandalisme,,2025-06-14,2025,,,,,
13,Agression Verbale,,2025-06-14,2025,,,,,
38,Agression Verbale,,2025-06-14,2025,,,,,
36,Agression Verbale,,2025-06-14,2025,,,,,
13,Braquage,,2025-06-14,2025,,,,,
91,Tentative ag physique tiers,,2025-06-14,2025,,,,,
94,Bagarre,,2025-06-13,2025,,,,,
78,Agression sur un tiers,,2025-06-13,2025,,,,,
34,Agression Verbale,,2025-06-13,2025,,,,,
75,Vol,,2025-06-13,2025,,,,,
95,Divers,,2025-06-12,2025,,,,,
33,Tentative de fraude CB,,2025-06-12,2025,,,,,
64,Agression sur un tiers,,2025-06-11,2025,,,,,
75,Agression sur un tiers,,2025-06-11,2025,,,,,
35,Agression Verbale,,2025-06-11,2025,,,,,
93,Manifestation,,2025-06-11,2025,,,,,
59,Braquage,,2025-06-11,2025,,,,,
75,Agression Verbale,,2025-06-10,2025,,,,,
69,Agression Verbale,,2025-06-10,2025,,,,,
79,Agression Verbale,,2025-06-10,2025,,,,,
94,Vol sur un tiers,,2025-06-10,2025,,,,,
95,Agression sur un tiers,,2025-06-10,2025,,,,,
8,Agression Verbale,,2025-06-10,2025,,,,,
72,Agression Verbale,,2025-06-09,2025,,,,,
78,Agression Verbale,,2025-06-09,2025,,,,,
91,Vandalisme,,2025-06-09,2025,,,,,
44,Agression Verbale,,2025-06-09,2025,,,,,
67,Agression sur un tiers,,2025-06-09,2025,,,,,
2,Manifestation,,2025-06-08,2025,,,,,
94,Tentative de fraude CB,,2025-06-08,2025,,,,,
13,Agression Verbale,,2025-06-08,2025,,,,,
2,Agression Verbale,,2025-06-08,2025,,,,,
59,Tentative intrusion,,2025-06-07,2025,,,,,
30,Agression Verbale,,2025-06-07,2025,,,,,
83,Vol,,2025-06-07,2025,,,,,
83,Vol,,2025-06-07,2025,,,,,
77,Vol,,2025-06-07,2025,,,,,
75,Agression Verbale,,2025-06-07,2025,,,,,
45,Agression Verbale,,2025-06-06,2025,,,,,
60,Agression Verbale,,2025-06-06,2025,,,,,
83,Agression Verbale,,2025-06-06,2025,,,,,
93,Rassemblements individus,,2025-06-06,2025,,,,,
34,Agression Verbale,,2025-06-06,2025,,,,,
34,Agression Verbale,,2025-06-06,2025,,,,,
19,Vandalisme,,2025-06-06,2025,,,,,
59,Agression Verbale,,2025-06-06,2025,,,,,
69,Agression Verbale,,2025-06-06,2025,,,,,
69,Agression sur un tiers,,2025-06-06,2025,,,,,
76,Agression Physique,,2025-06-06,2025,,,,,
17,Vandalisme,,2025-06-06,2025,,,,,
31,Divers,,2025-06-05,2025,,,,,
54,Agression Verbale,,2025-06-05,2025,,,,,
92,Agression Verbale,,2025-06-05,2025,,,,,
93,Vol,,2025-06-05,2025,,,,,
60,Tentative de fraude autres,,2025-06-04,2025,,,,,
59,Agression sur un tiers,,2025-06-04,2025,,,,,
74,Agression Verbale,,2025-06-03,2025,,,,,
75,Agression Verbale,,2025-06-03,2025,,,,,
76,Agression Verbale,,2025-06-03,2025,,,,,
13,Vol,,2025-06-03,2025,,,,,
90,Agression verbale chauffeur,,2025-06-03,2025,,,,,
75,Vandalisme,,2025-06-02,2025,,,,,
63,Agression Verbale,,2025-06-02,2025,,,,,
63,Agression Verbale,,2025-06-02,2025,,,,,
13,Agression Verbale,,2025-06-02,2025,,,,,
33,Agression Verbale,,2025-06-02,2025,,,,,
1,Agression Physique,,2025-06-02,2025,,,,,
62,Vandalisme,,2025-06-02,2025,,,,,
44,Vandalisme,,2025-06-01,2025,,,,,
75,Vandalisme,,2025-06-01,2025,,,,,
63,Agression Verbale,,2025-06-01,2025,,,,,
59,Vandalisme,,2025-06-01,2025,,,,,
72,Cambriolage,,2025-05-31,2025,,,,,
75,Vandalisme,,2025-05-31,2025,,,,,
77,Tentative de vol,,2025-05-31,2025,,,,,
59,SDF,,2025-05-31,2025,,,,,
92,Vol,,2025-05-31,2025,,,,,
44,Tentative de vol,,2025-05-31,2025,,,,,
24,Agression Verbale,,2025-05-30,2025,,,,,
63,Vol,,2025-05-30,2025,,,,,
63,Agression Verbale,,2025-05-30,2025,,,,,
83,Agression Verbale,,2025-05-30,2025,,,,,
13,Agression Verbale,,2025-05-30,2025,,,,,
78,Vandalisme,,2025-05-30,2025,,,,,
95,Agression Verbale,,2025-05-30,2025,,,,,
62,Clandestin,,2025-05-30,2025,,,,,
40,Agression Verbale,,2025-05-30,2025,,,,,
75,Vol sur un tiers,,2025-05-30,2025,,,,,
44,Agression Verbale,,2025-05-30,2025,,,,,
34,Agression Verbale,,2025-05-29,2025,,,,,
59,Manifestation,,2025-05-28,2025,,,,,
45,Agression Verbale,,2025-05-28,2025,,,,,
63,Tentative agression physique,,2025-05-28,2025,,,,,
27,Agression Verbale,,2025-05-28,2025,,,,,
13,Agression Verbale,,2025-05-28,2025,,,,,
8,Agression Verbale,,2025-05-28,2025,,,,,
33,Agression Verbale,,2025-05-28,2025,,,,,
35,SDF,,2025-05-28,2025,,,,,
35,Tentative de fraude TotalFleet,,2025-05-28,2025,,,,,
44,Vandalisme,,2025-05-27,2025,,,,,
59,Agression Verbale,,2025-05-27,2025,,,,,
91,Agression Verbale,,2025-05-27,2025,,,,,
38,Agression Physique,,2025-05-26,2025,,,,,
13,Agression Verbale,,2025-05-26,2025,,,,,
95,Manifestation,,2025-05-26,2025,,,,,
75,Divers,,2025-05-26,2025,,,,,
35,Agression Verbale,,2025-05-25,2025,,,,,
44,Agression Verbale,,2025-05-25,2025,,,,,
76,Agression Verbale,,2025-05-25,2025,,,,,
27,Bagarre,,2025-05-24,2025,,,,,
72,Agression Verbale,,2025-05-24,2025,,,,,
72,Agression Verbale,,2025-05-24,2025,,,,,
62,Vol,,2025-05-24,2025,,,,,
13,Vol,,2025-05-24,2025,,,,,
59,Tentative de vol,,2025-05-24,2025,,,,,
75,Vandalisme,,2025-05-24,2025,,,,,
94,Divers,,2025-05-23,2025,,,,,
13,Vol sur un tiers,,2025-05-23,2025,,,,,
38,Agression sur un tiers,,2025-05-23,2025,,,,,
6,Clandestin,,2025-05-22,2025,,,,,
69,Tentative de braquage,,2025-05-22,2025,,,,,
52,Vol sur un tiers,,2025-05-22,2025,,,,,
60,Vol,,2025-05-22,2025,,,,,
95,Agression Verbale,,2025-05-22,2025,,,,,
93,Agression Verbale,,2025-05-21,2025,,,,,
21,Agression sur un tiers,,2025-05-21,2025,,,,,
75,Agression Verbale,,2025-05-21,2025,,,,,
75,Vol sur un tiers,,2025-05-20,2025,,,,,
91,Agression Verbale,,2025-05-20,2025,,,,,
60,Agression Verbale,,2025-05-20,2025,,,,,
71,Vandalisme,,2025-05-20,2025,,,,,
35,Agression sur un tiers,,2025-05-19,2025,,,,,
33,Agression Physique,,2025-05-19,2025,,,,,
69,Agression Physique,,2025-05-19,2025,,,,,
95,Agression sur un tiers,,2025-05-19,2025,,,,,
75,Bagarre,,2025-05-19,2025,,,,,
52,Vandalisme,,2025-05-19,2025,,,,,
59,Agression Verbale,,2025-05-19,2025,,,,,
59,Agression Verbale,,2025-05-19,2025,,,,,
75,Agression Verbale,,2025-05-19,2025,,,,,
17,Agression Verbale,,2025-05-19,2025,,,,,
14,Agression Verbale,,2025-05-18,2025,,,,,
13,Vandalisme,,2025-05-18,2025,,,,,
75,Clandestin,,2025-05-18,2025,,,,,
78,Agression Verbale,,2025-05-18,2025,,,,,
71,Agression Verbale,,2025-05-17,2025,,,,,
95,Agression Verbale,,2025-05-17,2025,,,,,
63,Agression Verbale,,2025-05-17,2025,,,,,
75,Agression Verbale,,2025-05-17,2025,,,,,
57,Evenement suspect,,2025-05-16,2025,,,,,
46,Agression Verbale,,2025-05-16,2025,,,,,
67,Agression Verbale,,2025-05-16,2025,,,,,
83,Agression Verbale,,2025-05-15,2025,,,,,
83,Vol,,2025-05-15,2025,,,,,
6,Vandalisme,,2025-05-15,2025,,,,,
78,Tentative de cambriolage,,2025-05-14,2025,,,,,
13,Vol,,2025-05-14,2025,,,,,
75,Agression Physique,,2025-05-14,2025,,,,,
1,Divers,,2025-05-14,2025,,,,,
33,Vol,,2025-05-14,2025,,,,,
8,Tentative agression physique,,2025-05-14,2025,,,,,
35,SDF,,2025-05-14,2025,,,,,
80,Agression Physique,,2025-05-13,2025,,,,,
95,Vandalisme,,2025-05-13,2025,,,,,
1,Divers,,2025-05-13,2025,,,,,
69,Divers,,2025-05-13,2025,,,,,
44,Vandalisme,,2025-05-12,2025,,,,,
83,Agression Verbale,,2025-05-12,2025,,,,,
75,SDF,,2025-05-12,2025,,,,,
33,Agression Verbale,,2025-05-11,2025,,,,,
95,Vandalisme,,2025-05-11,2025,,,,,
38,Vandalisme,,2025-05-11,2025,,,,,
69,Vol,,2025-05-11,2025,,,,,
44,Vol,,2025-05-11,2025,,,,,
91,Vandalisme,,2025-05-11,2025,,,,,
38,Vandalisme,,2025-05-11,2025,,,,,
78,Agression Verbale,,2025-05-10,2025,,,,,
91,Vandalisme,,2025-05-10,2025,,,,,
75,SDF,,2025-05-10,2025,,,,,
21,Vandalisme,,2025-05-10,2025,,,,,
51,Vandalisme,,2025-05-10,2025,,,,,
14,Agression Verbale,,2025-05-09,2025,,,,,
94,Vandalisme,,2025-05-09,2025,,,,,
91,Agression Verbale,,2025-05-09,2025,,,,,
74,Agression Verbale,,2025-05-09,2025,,,,,
6,SDF,,2025-05-09,2025,,,,,
52,Vandalisme,,2025-05-09,2025,,,,,
68,Divers,,2025-05-09,2025,,,,,
59,Agression Verbale,,2025-05-09,2025,,,,,
75,Tentative de vol,,2025-05-09,2025,,,,,
76,Agression Physique,,2025-05-09,2025,,,,,
35,Agression Physique,,2025-05-08,2025,,,,,
60,Agression Physique,,2025-05-08,2025,,,,,
76,Agression Verbale,,2025-05-08,2025,,,,,
75,Agression Verbale,,2025-05-08,2025,,,,,
68,Agression sur un tiers,,2025-05-08,2025,,,,,
62,Agression sur un tiers,,2025-05-08,2025,,,,,
75,Agression Verbale,,2025-05-08,2025,,,,,
91,Agression Verbale,,2025-05-07,2025,,,,,
13,Vol,,2025-05-07,2025,,,,,
78,Agression Verbale,,2025-05-07,2025,,,,,
75,Vol sur un tiers,,2025-05-07,2025,,,,,
27,Vol,,2025-05-07,2025,,,,,
95,Divers,,2025-05-06,2025,,,,,
84,Agression Physique,,2025-05-06,2025,,,,,
35,Cambriolage,,2025-05-06,2025,,,,,
34,Vol,,2025-05-06,2025,,,,,
59,Agression sur un tiers,,2025-05-06,2025,,,,,
62,Divers,,2025-05-05,2025,,,,,
13,SDF,,2025-05-05,2025,,,,,
34,Tentative de cambriolage,,2025-05-05,2025,,,,,
95,Fraude TotalFleet,,2025-05-05,2025,,,,,
60,Evenement suspect,,2025-05-05,2025,,,,,
2,Agression Verbale,,2025-05-05,2025,,,,,
42,Vandalisme,,2025-05-05,2025,,,,,
71,Agression Verbale,,2025-05-05,2025,,,,,
76,Agression Verbale,,2025-05-05,2025,,,,,
31,Agression Verbale,,2025-05-05,2025,,,,,
25,Vandalisme,,2025-05-04,2025,,,,,
56,Bagarre,,2025-05-03,2025,,,,,
59,SDF,,2025-05-03,2025,,,,,
84,Agression Verbale,,2025-05-03,2025,,,,,
83,Vandalisme,,2025-05-03,2025,,,,,
91,Agression Verbale,,2025-05-02,2025,,,,,
93,Agression Verbale,,2025-05-02,2025,,,,,
67,Vandalisme,,2025-05-02,2025,,,,,
54,Agression Verbale,,2025-05-02,2025,,,,,
2,Agression Verbale,,2025-05-02,2025,,,,,
67,Vandalisme,,2025-05-02,2025,,,,,
67,Vandalisme,,2025-05-02,2025,,,,,
95,Agression Physique,,2025-05-02,2025,,,,,
76,Vandalisme,,2025-05-02,2025,,,,,
93,Agression Physique,,2025-05-01,2025,,,,,
26,Agression sur un tiers,,2025-05-01,2025,,,,,
95,Agression Verbale,,2025-04-30,2025,,,,,
26,Vol sur un tiers,,2025-04-30,2025,,,,,
67,Tentative vol sur un tiers,,2025-04-30,2025,,,,,
63,Agression Verbale,,2025-04-29,2025,,,,,
22,Vandalisme,,2025-04-29,2025,,,,,
56,Agression Verbale,,2025-04-28,2025,,,,,
33,Vandalisme,,2025-04-28,2025,,,,,
95,Bagarre,,2025-04-28,2025,,,,,
77,Vandalisme,,2025-04-28,2025,,,,,
13,Vol,,2025-04-28,2025,,,,,
5,Agression Verbale,,2025-04-27,2025,,,,,
31,Agression Verbale,,2025-04-27,2025,,,,,
45,Tentative agression physique,,2025-04-27,2025,,,,,
77,Tentative agression physique,,2025-04-27,2025,,,,,
44,Vol,,2025-04-26,2025,,,,,
44,Divers,,2025-04-26,2025,,,,,
67,Tentative de vol,,2025-04-26,2025,,,,,
60,Agression Physique,,2025-04-26,2025,,,,,
56,Vandalisme,,2025-04-25,2025,,,,,
33,Evenement suspect,,2025-04-25,2025,,,,,
63,Agression Verbale,,2025-04-25,2025,,,,,
44,Agression Verbale,,2025-04-25,2025,,,,,
75,Tentative de fraude autres,,2025-04-24,2025,,,,,
94,Agression Verbale,,2025-04-24,2025,,,,,
59,Agression Verbale,,2025-04-23,2025,,,,,
22,Vandalisme,,2025-04-23,2025,,,,,
6,Vandalisme,,2025-04-23,2025,,,,,
27,Tentative de fraude TotalFleet,,2025-04-22,2025,,,,,
75,Vol,,2025-04-22,2025,,,,,
88,Vol Carburant,,2025-04-21,2025,,,,,
61,Vandalisme,,2025-04-21,2025,,,,,
35,Vandalisme,,2025-04-21,2025,,,,,
34,Agression Verbale,,2025-04-20,2025,,,,,
13,Vandalisme,,2025-04-20,2025,,,,,
77,Vandalisme,,2025-04-20,2025,,,,,
77,Vol,,2025-04-19,2025,,,,,
1,Vandalisme,,2025-04-19,2025,,,,,
35,Vandalisme,,2025-04-19,2025,,,,,
14,Agression sexuelle,,2025-04-18,2025,,,,,
77,Vandalisme,,2025-04-18,2025,,,,,
67,Agression Verbale,,2025-04-17,2025,,,,,
67,Agression Verbale,,2025-04-17,2025,,,,,
13,Fraude TotalFleet,,2025-04-17,2025,,,,,
33,Vol,,2025-04-17,2025,,,,,
75,Agression Verbale,,2025-04-17,2025,,,,,
38,Divers,,2025-04-16,2025,,,,,
75,Vol sur un tiers,,2025-04-16,2025,,,,,
38,Agression Verbale,,2025-04-16,2025,,,,,
60,Agression Verbale,,2025-04-15,2025,,,,,
92,Vandalisme,,2025-04-15,2025,,,,,
59,Agression Verbale,,2025-04-15,2025,,,,,
13,Agression Verbale,,2025-04-15,2025,,,,,
13,Agression Verbale,,2025-04-15,2025,,,,,
13,Agression Verbale,,2025-04-14,2025,,,,,
35,Agression Verbale,,2025-04-14,2025,,,,,
72,Cambriolage,,2025-04-13,2025,,,,,
95,Vol,,2025-04-13,2025,,,,,
21,Vandalisme,,2025-04-13,2025,,,,,
77,Tentative de cambriolage,,2025-04-12,2025,,,,,
75,Agression Verbale,,2025-04-12,2025,,,,,
76,Agression Verbale,,2025-04-12,2025,,,,,
8,Agression Physique,,2025-04-12,2025,,,,,
60,Vol,,2025-04-12,2025,,,,,
37,Déplacement caméra,,2025-04-11,2025,,,,,
84,Agression sur un tiers,,2025-04-11,2025,,,,,
14,Agression Verbale,,2025-04-11,2025,,,,,
68,Agression Verbale,,2025-04-11,2025,,,,,
91,Agression Verbale,,2025-04-11,2025,,,,,
13,Vol,,2025-04-11,2025,,,,,
44,Vol,,2025-04-11,2025,,,,,
59,Divers,,2025-04-11,2025,,,,,
26,Vol,,2025-04-10,2025,,,,,
92,Agression Verbale,,2025-04-10,2025,,,,,
44,Cambriolage,,2025-04-10,2025,,,,,
93,Agression Verbale,,2025-04-10,2025,,,,,
76,Agression Physique,,2025-04-10,2025,,,,,
91,Agression Verbale,,2025-04-10,2025,,,,,
91,Rassemblements individus,,2025-04-10,2025,,,,,
71,Agression Verbale,,2025-04-10,2025,,,,,
13,Agression Verbale,,2025-04-09,2025,,,,,
6,Vol,,2025-04-09,2025,,,,,
14,Agression Physique,,2025-04-08,2025,,,,,
93,Agression Physique,,2025-04-07,2025,,,,,
95,Vol sur un tiers,,2025-04-07,2025,,,,,
92,Agression sur un tiers,,2025-04-07,2025,,,,,
21,Agression sur un tiers,,2025-04-06,2025,,,,,
83,Vol,,2025-04-06,2025,,,,,
44,Agression Verbale,,2025-04-06,2025,,,,,
33,Vandalisme,,2025-04-06,2025,,,,,
75,Vol sur un tiers,,2025-04-05,2025,,,,,
6,Vol sur un tiers,,2025-04-05,2025,,,,,
77,Evenement suspect,,2025-04-05,2025,,,,,
59,Agression Verbale,,2025-04-05,2025,,,,,
75,Agression Verbale,,2025-04-05,2025,,,,,
75,Vol sur un tiers,,2025-04-05,2025,,,,,
35,Agression Verbale,,2025-04-05,2025,,,,,
25,Agression Verbale,,2025-04-04,2025,,,,,
60,Agression Physique,,2025-04-03,2025,,,,,
84,Agression Verbale,,2025-04-03,2025,,,,,
78,Agression Verbale,,2025-04-03,2025,,,,,
75,Agression Verbale,,2025-04-03,2025,,,,,
93,Vol,,2025-04-03,2025,,,,,
33,Agression Verbale,,2025-04-02,2025,,,,,
75,Agression sur un tiers,,2025-04-02,2025,,,,,
51,Agression Verbale,,2025-04-02,2025,,,,,
93,Agression Verbale,,2025-04-01,2025,,,,,
78,Agression Verbale,,2025-04-01,2025,,,,,
92,Agression Verbale,,2025-04-01,2025,,,,,
92,SDF,,2025-04-01,2025,,,,,
66,Bagarre,,2025-04-01,2025,,,,,
59,Manifestation,,2025-03-31,2025,,,,,
25,Agression Verbale,,2025-03-31,2025,,,,,
21,Agression sur un tiers,,2025-03-31,2025,,,,,
95,Agression Verbale,,2025-03-31,2025,,,,,
83,Divers,,2025-03-31,2025,,,,,
33,Rassemblements véhicules,,2025-03-31,2025,,,,,
59,Braquage,,2025-03-31,2025,,,,,
69,Vandalisme,,2025-03-29,2025,,,,,
53,Agression Verbale,,2025-03-29,2025,,,,,
56,Agression Verbale,,2025-03-28,2025,,,,,
92,Fraude Autres,,2025-03-28,2025,,,,,
71,Tentative de cambriolage,,2025-03-28,2025,,,,,
63,Agression Verbale,,2025-03-28,2025,,,,,
91,SDF,,2025-03-27,2025,,,,,
51,Vandalisme,,2025-03-27,2025,,,,,
21,Agression sur un tiers,,2025-03-27,2025,,,,,
31,Agression sur un tiers,,2025-03-27,2025,,,,,
4,Agression Verbale,,2025-03-27,2025,,,,,
78,Cambriolage,,2025-03-26,2025,,,,,
91,Divers,,2025-03-26,2025,,,,,
78,Agression Verbale,,2025-03-26,2025,,,,,
93,Tentative fraude faux billets,,2025-03-26,2025,,,,,
95,Agression Verbale,,2025-03-26,2025,,,,,
59,Evenement suspect,,2025-03-26,2025,,,,,
60,Vol,,2025-03-25,2025,,,,,
35,Agression Verbale,,2025-03-25,2025,,,,,
60,Agression Verbale,,2025-03-25,2025,,,,,
54,Vol,,2025-03-25,2025,,,,,
31,Vandalisme,,2025-03-25,2025,,,,,
95,Divers,,2025-03-25,2025,,,,,
75,Rassemblements individus,,2025-03-24,2025,,,,,
95,Cambriolage,,2025-03-24,2025,,,,,
34,Vol,,2025-03-24,2025,,,,,
95,Agression Physique,,2025-03-24,2025,,,,,
93,Divers,,2025-03-24,2025,,,,,
75,Vol sur un tiers,,2025-03-23,2025,,,,,
63,Cambriolage,,2025-03-23,2025,,,,,
33,Cambriolage,,2025-03-23,2025,,,,,
83,Agression sur un tiers,,2025-03-23,2025,,,,,
44,Vol,,2025-03-23,2025,,,,,
95,Agression Verbale,,2025-03-23,2025,,,,,
78,Agression Verbale,,2025-03-22,2025,,,,,
82,Agression Verbale,,2025-03-22,2025,,,,,
13,Agression Physique,,2025-03-22,2025,,,,,
13,Agression Verbale,,2025-03-22,2025,,,,,
13,Divers,,2025-03-22,2025,,,,,
44,Vol,,2025-03-22,2025,,,,,
75,Agression Verbale,,2025-03-22,2025,,,,,
77,Vol,,2025-03-22,2025,,,,,
63,Agression Verbale,,2025-03-21,2025,,,,,
46,Agression Verbale,,2025-03-21,2025,,,,,
33,Vol,,2025-03-21,2025,,,,,
19,Vandalisme,,2025-03-21,2025,,,,,
35,Agression sur un tiers,,2025-03-21,2025,,,,,
